tanggal,kota,suhu_min,suhu_max,suhu_rata,curah_hujan,kelembaban,kecepatan_angin,lama_penyinaran,kondisi_cuaca
2023-01-01,Malang,22.376001,27.876001,24.607252,2.5000002,85.5314,3.3882997,6.82813,Berawan
2023-01-02,Malang,21.776001,28.276001,24.253084,1.4000001,86.63526,4.274699,7.066754,Berawan
2023-01-03,Malang,20.726,28.926,24.159332,3.4,86.084984,4.94136,10.546527,Berawan
2023-01-04,Malang,21.176,28.226,23.780167,6.7,88.18936,5.0823665,8.620545,Hujan
2023-01-05,Malang,21.176,27.226,23.684336,8.300001,89.55683,5.7606196,10.529516,Hujan
2023-01-06,Malang,20.876001,26.476,23.240583,8.800002,90.673096,6.3001685,8.517488,Hujan
2023-01-07,Malang,20.226,27.526001,23.563501,4.1,86.83016,6.5526137,11.847828,Berawan
2023-01-08,Malang,19.976,27.426,23.405169,3.5999997,86.213844,5.2499914,10.627641,Berawan
2023-01-09,Malang,20.226,28.026001,23.763498,3.6000001,85.092995,4.3892727,10.318817,Berawan
2023-01-10,Malang,20.676,27.626001,23.990585,4.699999,85.80634,6.1388464,11.62512,Berawan
2023-01-11,Malang,21.276001,27.376001,24.038504,2.1999998,87.27957,6.8605676,10.812912,Berawan
2023-01-12,Malang,19.926,27.576,23.40309,0.6,85.5904,6.341882,11.842112,Berawan
2023-01-13,Malang,20.726,27.676,23.780169,0.5,84.62887,4.96966,10.38964,Berawan
2023-01-14,Malang,20.076,27.676,23.442667,14.8,89.524666,2.9266849,7.3668065,Hujan
2023-01-15,Malang,20.926,27.376001,23.478083,22.000002,92.58845,3.2536142,7.132775,Hujan
2023-01-16,Malang,21.526001,27.426,23.746834,17.300001,89.80313,3.2930067,6.4185104,Hujan
2023-01-17,Malang,21.426,26.726,23.64475,14.100001,91.56875,3.967682,7.0706153,Hujan
2023-01-18,Malang,21.276001,27.126001,23.605165,3.3999999,90.8923,5.2453504,7.785754,Berawan
2023-01-19,Malang,21.076,27.676,23.555168,10.900002,88.94877,3.8155453,10.183964,Hujan
2023-01-20,Malang,21.726,26.676,23.453085,12.300001,91.24622,4.1633687,6.1484485,Hujan
2023-01-21,Malang,21.126001,27.926,23.478083,11.5,89.361855,3.8095908,7.671212,Hujan
2023-01-22,Malang,20.776001,27.026001,23.796835,2.0,87.7381,4.5700603,10.822463,Berawan
2023-01-23,Malang,20.326,29.176,24.280165,0.70000005,83.26803,4.4590135,11.877081,Berawan
2023-01-24,Malang,20.876001,28.626001,24.428085,0.70000005,84.25321,3.8228412,10.87247,Berawan
2023-01-25,Malang,21.426,27.176,23.688501,8.1,89.15009,3.7873309,9.11439,Hujan
2023-01-26,Malang,21.676,26.326,23.215586,21.2,92.6045,5.524005,4.580578,Hujan
2023-01-27,Malang,21.476,25.976,23.261421,18.499998,91.49063,3.7584138,3.861895,Hujan
2023-01-28,Malang,21.376001,25.176,23.088503,34.500008,92.89408,2.6578836,3.5325077,Hujan
2023-01-29,Malang,22.076,27.376001,23.965584,36.5,88.41854,3.070876,6.655679,Hujan
2023-01-30,Malang,22.226,27.726,24.084335,7.3999996,91.40835,3.0258477,5.6659565,Hujan
2023-01-31,Malang,22.276001,26.876001,23.805168,11.799999,92.153465,4.189568,4.4589157,Hujan
2023-02-01,Malang,21.676,28.226,23.825998,32.7,91.898926,2.509406,5.1084814,Hujan
2023-02-02,Malang,21.626001,26.526001,23.711416,2.5000005,86.20721,3.5907347,0.0,Berawan
2023-02-03,Malang,22.176,26.576,23.846832,8.6,89.10473,3.4912686,0.0,Hujan
2023-02-04,Malang,22.076,27.626001,24.128084,17.2,87.2554,3.567061,8.556203,Hujan
2023-02-05,Malang,21.776001,27.726,24.023918,5.799999,84.61203,5.3842006,6.366692,Hujan
2023-02-06,Malang,21.376001,27.076,23.590584,5.0999994,89.04199,3.936942,6.0764976,Hujan
2023-02-07,Malang,21.076,26.876001,23.353086,40.100002,91.40879,2.8343449,5.7702155,Hujan
2023-02-08,Malang,21.976,26.276001,23.580164,39.0,91.38564,3.4654915,2.1511748,Hujan
2023-02-09,Malang,21.576,27.476,23.80517,39.000004,89.48243,3.1581101,7.308024,Hujan
2023-02-10,Malang,21.326,28.426,24.105165,22.4,87.24637,3.6556752,8.81067,Hujan
2023-02-11,Malang,21.826,27.376001,23.890585,63.0,89.24256,4.5087724,6.0,Hujan
2023-02-12,Malang,22.276001,26.826,23.680168,33.099995,90.58366,3.3774753,7.19447,Hujan
2023-02-13,Malang,21.526001,26.126001,23.01142,9.2,93.36316,4.490858,4.3319254,Hujan
2023-02-14,Malang,20.926,27.476,23.282255,6.7000003,90.79507,4.549151,8.432024,Hujan
2023-02-15,Malang,21.326,25.876001,22.896833,15.0,93.30256,4.0936975,5.7713675,Hujan
2023-02-16,Malang,21.676,25.926,23.196833,24.300001,94.461975,3.0277069,3.6459465,Hujan
2023-02-17,Malang,21.076,26.776001,23.432251,10.5,92.17737,3.9418151,5.303471,Hujan
2023-02-18,Malang,20.926,27.726,23.46975,9.800001,91.15142,4.786675,7.545598,Hujan
2023-02-19,Malang,21.076,27.826,23.69475,5.1999993,90.04819,3.9403088,7.814941,Hujan
2023-02-20,Malang,20.426,27.826,23.759333,8.200001,89.38508,3.9650009,10.078934,Hujan
2023-02-21,Malang,20.626001,28.876001,24.123917,2.3999999,84.85316,3.8149104,10.1700945,Berawan
2023-02-22,Malang,21.376001,28.276001,23.94475,22.199999,89.2725,3.6125453,6.603875,Hujan
2023-02-23,Malang,21.626001,27.926,24.576002,19.400002,86.86221,3.3960698,6.187034,Hujan
2023-02-24,Malang,22.176,27.176,24.142668,31.800003,91.72235,3.6424384,5.7547197,Hujan
2023-02-25,Malang,22.126001,28.076,24.338501,69.90001,88.81037,4.0788884,7.805212,Hujan
2023-02-26,Malang,21.776001,28.826,24.09892,13.400002,87.589195,3.2508748,7.7339725,Hujan
2023-02-27,Malang,21.526001,28.276001,24.336418,12.6,87.416405,3.1218395,8.809721,Hujan
2023-02-28,Malang,21.776001,28.676,24.063505,32.9,87.93299,3.81991,8.101084,Hujan
2023-03-01,Malang,21.326,26.576,23.2885,16.3,91.75724,4.4682517,8.8558655,Hujan
2023-03-02,Malang,20.626001,26.776001,23.13225,35.8,89.37705,3.3435051,7.0992146,Hujan
2023-03-03,Malang,21.126001,29.026001,24.155167,2.8,83.853745,3.670669,10.045111,Berawan
2023-03-04,Malang,20.576,28.626001,23.788504,8.700002,85.95278,3.5533876,10.154767,Hujan
2023-03-05,Malang,20.626001,27.676,23.284334,18.4,89.5458,3.952946,8.591778,Hujan
2023-03-06,Malang,21.426,26.726,23.57392,4.5,90.10021,5.8088408,10.409332,Berawan
2023-03-07,Malang,19.876001,28.376001,24.030167,0.2,83.99665,5.343065,11.735669,Berawan
2023-03-08,Malang,20.276001,27.226,23.165583,8.8,89.90216,4.6846676,9.445378,Hujan
2023-03-09,Malang,20.976,28.426,24.048918,0.4,82.26814,4.6622214,11.297836,Berawan
2023-03-10,Malang,21.376001,27.376001,23.753084,2.9,87.17469,3.3731737,9.498864,Berawan
2023-03-11,Malang,21.126001,28.576,24.609331,0.1,83.20547,5.165179,11.627284,Berawan
2023-03-12,Malang,21.626001,29.326,24.932253,0.4,79.84015,5.149821,11.757642,Berawan
2023-03-13,Malang,21.126001,27.826,23.657251,5.2999997,86.10674,4.3708887,10.908761,Hujan
2023-03-14,Malang,19.776001,27.326,23.226,4.0,85.941154,5.2535424,9.69505,Berawan
2023-03-15,Malang,21.726,28.076,24.334333,0.4,81.63922,4.958597,11.378038,Berawan
2023-03-16,Malang,22.026001,26.176,23.853083,1.5000001,85.817024,4.00421,9.30287,Berawan
2023-03-17,Malang,21.676,27.576,23.976,1.0,83.33546,3.4338865,8.671685,Berawan
2023-03-18,Malang,21.176,27.776001,23.896833,3.6,85.31161,3.639799,11.328632,Berawan
2023-03-19,Malang,21.476,27.476,24.153084,6.1000004,85.242226,4.731044,9.99456,Hujan
2023-03-20,Malang,21.526001,26.626001,23.721834,9.900001,89.060646,3.3448968,7.0856647,Hujan
2023-03-21,Malang,21.076,28.826,24.48017,0.6,85.10729,5.267693,11.001658,Berawan
2023-03-22,Malang,22.076,28.426,24.353083,7.9,84.68998,4.6479173,9.131613,Hujan
2023-03-23,Malang,21.976,28.476,24.513502,2.0,85.47993,3.3384616,10.212347,Berawan
2023-03-24,Malang,21.676,27.676,24.026001,45.6,87.61426,2.7055504,6.0,Hujan
2023-03-25,Malang,21.276001,28.326,24.132248,5.3999996,84.983864,3.2560024,8.043872,Hujan
2023-03-26,Malang,21.276001,27.526001,23.876,14.099999,85.39028,3.9490309,6.8533025,Hujan
2023-03-27,Malang,21.126001,26.926,23.65725,36.6,88.68246,3.2406871,5.847945,Hujan
2023-03-28,Malang,21.676,27.026001,23.76142,24.9,85.654945,3.5300577,6.3896403,Hujan
2023-03-29,Malang,22.326,28.126001,24.461416,10.500001,84.41779,3.908839,8.979636,Hujan
2023-03-30,Malang,21.676,28.026001,24.530167,13.800001,84.162575,4.00108,9.643368,Hujan
2023-03-31,Malang,21.576,27.376001,23.56767,37.9,85.750404,3.2937825,5.8604865,Hujan
2023-04-01,Malang,21.726,26.976,23.440584,9.7,90.23283,3.9268293,6.241661,Hujan
2023-04-02,Malang,21.276001,26.376001,23.15725,16.7,93.33609,3.6449945,6.0,Hujan
2023-04-03,Malang,21.426,26.526001,23.348917,19.0,92.562096,3.3327804,6.3389206,Hujan
